EdgeID	Property	Value
1402	Value	$3.9 million[citation needed]
		
1402	Type of Business	Social B2B Reviews
		
1403	Date	"January 26, 2011"
		
1403	Value	$1.7 million[44]
		
1403	Type of Business	Social Contacts
		
1404	Date	"October 5, 2011"
		
1404	Type of Business	Social CRM
		
1405	Date	"October 11, 2011"
		
1405	Type of Business	Social search
		
1406	Date	"February 22, 2012"
		
1406	Value	$15 million[50]
		
1406	Type of Business	Social Contacts
		
1407	Date	"May 3, 2012"
		
1407	Value	$119 million
		
1407	Type of Business	Social Content
		
1408	Date	"April 11, 2013"
		
1408	Value	$90 million
		
1408	Type of Business	Web / Mobile newsreader
		
1409	Date	"February 6, 2014"
		
1409	Value	$120 million
		
1409	Type of Business	Job Matching
		
1410	Date	"July 14, 2014"
		
1410	Type of Business	Web application
		
1411	Date	"July 22, 2014"
		
1411	Value	$175 million
		
1411	Type of Business	Web application
		
1412	Date	"March 16, 2015"
		
1412	Type of Business	Web application
		
1413	Date	"April 2, 2015"
		
1413	Type of Business	Web application
		
1414	Date	"April 9, 2015"
		
1414	Value	$1.5 billion[59]
		
1414	Type of Business	eLearning
		
1415	Date	"August 28, 2015"
		
1415	Type of Business	Predictive Sales and Marketing Firm
		
1416	Date	"February 4, 2016"
		
1416	Type of Business	Web application
		
1417	Date	"July 26, 2016"
		
1417	Type of Business	Web application
		
1418	Date	"September 16, 2018"
		
1418	Type of Business	Web application
		
1419	Date	"May 28, 2019"
		
1419	Type of Business	Marketing Solutions
		
1440	ownership	54.84
		
1441	ownership	5.04
		
1442	ownership	3.02
		
1443	ownership	2.98
		
1444	ownership	2.95
		
1445	ownership	2.83
		
1446	ownership	32.92
		
1447	Date	—
		
1448	Date	2018
		
1449	Date	2019
		
1450	Date	—
		
1451	Date	2018
		
1452	Date	2014
		
1453	Date	2018
		
1454	Date	2018
		
1455	Date	2018
		
1456	Date	2002
		
1457	Date	—
		
1458	Date	—
		
1459	Date	—
		
1460	Date	2018
		
1461	Date	—
		
1462	Date	Unknown
		
1463	Date	January 2013
		
1464	Date	May 2013
		
1465	Date	February 2014
		
1466	Date	March 2014
		
1467	Date	March 2014
		
1468	Date	June 2014
		
1469	Date	July 2014
		
1470	Date	August 2014
		
1471	Date	September 2014
		
1472	Date	January 2015
		
1473	Date	January 2015
		
1474	Date	April 2015
		
1475	Date	April 2015[a]
		
1476	Date	June 2015
		
1477	Date	July 2015
		
1478	Date	July 2015
		
1479	Date	August 2015
		
1480	Date	September 2015
		
1481	Date	September 2015
		
1482	Date	2016
		
1483	Date	January 2016
		
1484	Date	March 2016
		
1485	Date	June 2016
		
1486	Date	September 2016
		
1487	Date	November 2016
		
1488	Date	January 2017
		
1489	Date	March 2017
		
1490	Date	October 2017
		
1491	Date	March 2018
		
1492	Date	April 2018
		
1493	Date	May 2018
		
1494	Date	June 2018
		
1495	Date	September 2018
		
1496	Date	October 2018
		
1497	Date	January 2019
		
1498	Date	January 2019[a]
		
1499	Date	March 2019
		
1500	Date	"March 17, 2000"
		
1500	Value	"$89,750,000.00"
		
1500	Type of Business	Internet service provider
		
1501	Date	"March 17, 2001"
		
